lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
under,PRT,208,26,29,36,40
elk,CONJ,262,26,34,57,64
therethrough,ADP,263,26,74,68,77
igher,ADP,148,26,28,41,42
betwean,ADP,414,26,26,44,44
miabut,CONJ,456,0,456,4,314
katawohan,ADP,448,0,448,4,341
svojho,ADP,385,0,385,4,316
linearlayout,ADP,632,0,340,18,338
nangasa,DET,334,0,334,3,273
benzylpenicillin,ADP,601,0,322,123,269
ifndef,ADP,637,0,320,55,255
isoflurane,PRON,629,0,297,68,242
antitumor,CONJ,582,0,278,88,226
butoxide,ADP,583,0,270,128,259
abatacept,ADP,415,0,263,16,222
napasa,DET,260,0,260,2,197
thinfilm,DET,529,0,245,91,198
ipad,PRT,307,0,239,9,207
atazanavir,CONJ,397,0,238,18,224
ferredoxin,ADP,433,0,234,80,189
andandand,CONJ,513,0,233,24,216
hypertext,PRON,563,0,226,51,212
tetrarca,DET,209,0,209,1,142
albuterol,DET,372,0,204,41,189
alkoxide,DET,615,0,201,97,203
alloimmune,DET,456,0,200,54,179
taxiway,DET,412,0,198,70,177
anisotropy,DET,309,0,197,65,139
afterburner,ADP,361,0,196,69,190
zmiluj,ADP,196,0,195,1,135
antitachycardia,DET,376,0,195,35,153
theytheytheytheythey,PRON,421,0,194,9,176
oxybutynin,ADP,637,0,192,57,240
pegivirus,ADP,257,0,192,1,192
risperidone,PRON,309,0,191,28,144
acetaminophen,CONJ,283,0,190,38,153
zeide,ADP,188,0,188,1,128
zener,ADP,453,0,188,72,181
beamwidth,ADP,234,0,181,51,147
drotrecogin,ADP,450,0,180,22,198
blackout,ADP,572,0,178,75,178
isospin,ADP,327,0,175,56,181
itraconazole,PRON,274,0,175,25,146
amoxycillin,ADP,368,0,171,44,176
insecticidal,ADP,539,20,171,105,158
thiosulfate,DET,319,9,167,89,149
benchtop,ADP,400,0,166,59,169
ontreinigt,ADP,164,0,164,1,111
anoikis,DET,257,0,162,18,151
mfis,PRON,645,0,161,42,249
leptin,ADP,341,0,159,25,148
alkoxy,DET,321,0,159,77,139
arbuscular,ADP,476,0,158,58,167
ifrss,PRON,209,0,155,10,119
minocycline,PRON,481,0,153,50,174
wikileaks,ADP,237,0,151,7,126
minimax,PRON,241,0,147,51,107
nomatan,ADP,147,0,147,1,103
nakaila,DET,147,0,147,1,100
alltime,DET,575,3,146,114,164
tumahan,ADP,146,0,146,1,127
anglophone,DET,343,0,146,48,150
kenaf,ADP,317,0,146,66,141
wszystek,ADP,145,0,145,1,126
airmobile,ADP,494,0,145,61,160
skywave,DET,455,0,142,69,174
ridership,DET,507,0,142,60,162
adenovirus,ADP,342,0,141,52,124
nosql,DET,296,0,141,6,146
absorbance,ADP,229,0,140,43,112
bestatin,ADP,553,0,139,48,175
ziprasidone,PRON,336,0,138,22,150
gyro,ADP,594,1,136,106,197
interstimulus,ADP,177,0,136,37,108
allallallallall,DET,280,0,134,6,118
ranitidine,PRON,267,0,134,26,129
youmre,PRON,266,0,133,5,125
thermocouple,ADP,475,4,132,96,169
interoffice,ADP,383,1,131,85,152
armahda,DET,131,0,131,1,92
bazooka,DET,354,0,130,57,141
peroxy,PRT,207,0,130,39,107
plerixafor,ADP,346,0,130,9,148
thyristor,ADP,268,0,130,39,121
