lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
aurata,DET,325,28,29,61,61
appropriat,DET,324,42,42,70,71
annend,CONJ,322,9,11,45,50
methyl,CONJ,322,0,1,16,64
littlo,ADP,321,39,40,62,63
aother,DET,320,11,13,27,28
sfor,ADP,319,5,6,26,28
uliand,CONJ,318,0,1,8,32
ofreal,ADP,318,7,7,23,23
bds,CONJ,314,1,19,25,41
foreskin,ADP,314,5,7,41,48
maritime,DET,314,25,26,63,64
alloy,ADP,314,36,39,79,80
plesand,CONJ,313,15,15,24,24
bifor,ADP,311,17,18,29,30
xixth,ADP,311,5,9,24,28
lncr,ADP,311,0,3,20,63
sirst,ADP,310,11,11,19,20
nonrelief,ADP,309,0,1,8,29
daemon,PRT,309,2,2,24,26
soiiie,DET,307,0,1,7,21
thecium,PRON,306,0,2,14,23
lvanovich,ADP,305,0,15,12,34
alif,ADP,304,19,20,57,57
til,PRON,304,10,11,32,32
insce,ADP,304,0,1,7,27
ilaws,ADP,302,0,9,13,28
allata,DET,301,4,4,50,50
eqp,ADP,301,0,21,13,52
bd,ADP,301,13,13,53,53
instrn,ADP,300,1,2,8,11
lntelligence,ADP,300,0,32,26,74
ofproper,ADP,300,5,5,16,17
largerthan,ADP,299,12,12,34,35
otfice,ADP,299,45,45,61,61
angola,DET,299,13,14,44,45
sce,ADP,298,3,3,16,17
octahedron,ADP,296,9,11,42,44
thaca,DET,294,29,30,50,51
addnl,DET,293,0,46,22,69
frmn,ADP,292,47,48,66,66
paraprof,ADP,292,0,56,23,96
lapr,ADP,292,0,0,6,32
noght,DET,292,33,33,49,50
intoforce,ADP,292,0,2,7,23
noibn,ADP,292,0,4,10,57
atlon,ADP,291,81,82,97,98
technet,DET,291,0,4,9,34
andava,DET,290,7,7,12,12
xxxii,ADP,288,45,46,54,55
attenuatus,ADP,287,72,75,75,78
thetasub,DET,287,0,106,10,113
ofterror,ADP,287,1,1,13,15
pargand,CONJ,286,0,2,8,24
oftrue,ADP,286,3,4,14,16
alula,DET,286,34,36,48,50
delle,ADP,285,27,27,46,46
aodel,DET,285,0,6,23,58
iller,ADP,285,17,18,25,26
andjust,DET,284,1,2,12,14
aajor,ADP,284,0,7,16,38
