lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
itselfinto,ADP,444,34,34,53,53
oxidn,ADP,381,0,34,24,90
oftho,ADP,266,34,34,60,60
becomo,ADP,260,34,34,57,58
affter,ADP,245,34,34,52,53
sirup,ADP,232,26,34,66,78
alonga,DET,204,33,34,48,48
befog,ADP,136,34,34,36,37
ofver,ADP,131,33,34,37,38
yorik,PRON,58,0,34,2,31
menultem,PRON,86,0,34,5,35
nothename,DET,34,0,34,0,24
iforklift,ADP,45,0,34,2,27
aztldn,ADP,92,0,34,6,35
yearscan,ADP,45,0,34,1,28
ifthererson,ADP,34,0,34,0,28
administra,DET,164,33,33,45,46
wluch,DET,152,32,33,34,34
thenee,PRON,125,32,33,36,37
thewrst,DET,104,0,33,3,41
iminkoff,ADP,33,0,33,0,28
beforebeforebeforebeforebefore,ADP,66,0,33,1,33
asecondor,ADP,33,0,33,0,24
whilewhilewhilewhilewhile,ADP,62,0,33,1,34
sooo,DET,584,32,32,66,66
times,CONJ,137,31,32,42,43
autovon,ADP,113,0,32,5,41
storekeeper,ADP,107,29,32,32,34
ofwpf,ADP,53,0,32,1,30
fromecember,ADP,71,0,32,2,34
ionper,ADP,89,0,32,2,31
rosof,ADP,49,0,32,2,29
whichareessentialfactorsforthe,DET,37,0,32,0,27
nntil,ADP,446,31,31,90,91
axn,ADP,261,30,31,54,55
wbere,ADP,127,31,31,38,38
tlw,DET,111,31,31,33,33
whicii,DET,75,31,31,33,33
upoi,ADP,60,31,31,29,30
onst,ADP,72,30,31,30,30
readhowyouwant,PRON,31,0,31,0,26
ofthosewhocooperatedin,ADP,39,0,31,1,24
sitemapnode,ADP,64,0,31,1,32
begeleidingscommissie,ADP,68,0,31,1,32
ipinus,ADP,48,0,31,2,28
thispageintentionallyleftblank,DET,42,0,31,0,26
andreproductioninany,DET,31,0,31,0,26
ofbirthin,ADP,41,0,31,0,26
eesor,ADP,39,0,31,0,28
iiiird,ADP,38,0,31,0,24
itciagi,PRON,50,0,31,1,28
thispropertysthe,DET,31,0,31,0,25
asbestyou,PRON,31,0,31,0,22
andmortg,DET,81,0,31,3,31
tiptoe,PRON,553,30,30,60,61
wherevpon,ADP,253,29,30,43,43
